B1,B2,B3,B4,B5,B6,B7,Chl-a
1012,1184,1394,1183,120,219,307,16.54
1236,1486,1737,1568,560,412,467,18.72
855,1042,1261,957,265,500,414,8.09
1089,1329,1547,1376,190,304,367,7.99
1025,1177,1394,1194,378,336,406,8.65
1269,1536,1748,1530,285,440,494,10.75
1041,1200,1421,1250,139,262,335,17.84
1252,1491,1711,1622,604,351,407,17.9
781,853,1160,773,62,25,33,4.43
1285,1542,1771,1653,529,417,469,13.63
1052,1313,1550,1286,448,621,522,8.19
1203,1427,1658,1532,364,317,384,18.14
1009,1194,1449,1254,123,224,303,17.76
1230,1482,1751,1631,443,277,354,17.5
1098,1353,1590,1342,458,650,558,8.39
1195,1446,1693,1512,326,345,419,8.25
1312,1590,1793,1688,587,437,492,16.65
988,1148,1388,1194,112,170,259,18.47
926,1159,1369,1079,99,330,261,6.62
1233,1458,1696,1610,602,357,428,18.72
912,1061,1273,1066,93,122,205,16.25
1174,1402,1626,1519,395,261,329,13.97
1083,1288,1513,1342,142,306,371,16.98
1093,1349,1591,1339,443,629,526,6.83
1151,1387,1614,1413,197,311,390,17.35
1198,1470,1707,1405,470,658,556,5.54
1054,1212,1439,1290,149,262,337,17.76
1278,1548,1776,1595,421,460,520,9.19
1129,1382,1651,1353,465,714,596,8.06
1171,1396,1606,1441,309,338,405,11.56
1068,1258,1499,1348,150,275,349,17.76
1023,1265,1506,1251,389,589,483,8.63
771,919,1110,880,129,348,279,8.99
1281,1536,1710,1547,435,546,573,11.74
1043,1205,1407,1206,132,228,303,18.31
1251,1522,1745,1606,443,379,437,18.52
1261,1522,1736,1613,531,418,470,18.99
828,1011,1261,922,235,478,395,7.79
827,1001,1260,907,318,530,432,8.93
845,1032,1280,953,266,482,393,7.18
1057,1236,1465,1298,135,270,341,16.89
1186,1451,1669,1552,412,265,334,16.98
888,1099,1333,1020,94,328,264,6.38
1178,1461,1707,1399,490,681,572,6.07
1089,1362,1597,1352,447,638,529,6.77
1149,1384,1614,1506,406,236,322,17.71
1326,1569,1765,1586,487,574,614,11.25
1050,1231,1442,1290,149,272,347,17.44
1159,1403,1606,1444,287,338,411,10.97
1039,1220,1449,1286,145,277,352,17.77
1234,1479,1713,1579,417,363,418,18.49
1181,1421,1633,1433,225,355,423,6.97
1255,1505,1760,1659,461,324,401,15.85
1234,1505,1722,1573,384,398,457,8.43
959,1101,1334,1107,109,163,258,18.5
1224,1485,1692,1586,466,329,395,14.61
1193,1437,1629,1468,308,367,428,9.22
1199,1424,1651,1532,346,265,338,16.28
1212,1473,1692,1594,405,304,373,17.69
1257,1496,1713,1610,609,378,424,18.43
1114,1317,1537,1402,289,276,350,16.93
1083,1334,1580,1324,436,627,524,6.77
1027,1206,1466,1276,127,236,311,18.29
1230,1473,1732,1610,421,324,395,15.0
1143,1353,1581,1387,192,329,395,6.53
1276,1551,1791,1666,430,318,387,14.24
1188,1446,1702,1574,381,290,365,17.88
1146,1385,1610,1406,207,306,384,8.15
917,1143,1361,1073,100,330,262,6.78
1025,1203,1412,1201,126,217,303,18.68
1170,1406,1630,1520,386,299,373,11.71
1218,1467,1688,1579,410,311,379,16.56
1217,1480,1717,1603,388,296,366,17.55
1215,1461,1678,1459,192,383,447,12.36
809,985,1241,903,232,467,385,7.24
797,971,1231,889,206,436,360,6.97
1271,1522,1765,1623,525,379,448,12.78
961,1123,1350,1163,105,146,238,18.94
1207,1424,1655,1440,220,392,464,8.71
1107,1365,1597,1357,470,667,563,8.06
1125,1317,1550,1391,258,338,410,17.54
1104,1323,1536,1415,361,214,295,17.12
1245,1513,1756,1630,383,296,373,13.37
1272,1529,1763,1635,523,431,476,14.51
1210,1465,1700,1575,391,281,349,16.89
1075,1265,1446,1308,224,353,399,8.32
1242,1519,1765,1675,496,332,397,16.98
1099,1331,1554,1352,148,275,355,6.67
1254,1520,1751,1628,510,362,422,15.94
1164,1399,1625,1415,217,340,406,17.34
1056,1260,1488,1311,298,264,346,7.91
1266,1531,1759,1630,467,403,455,12.87
815,898,1004,847,127,138,226,14.07
1153,1354,1585,1463,366,272,349,17.28
1234,1452,1621,1501,412,481,522,13.03
1273,1557,1784,1670,415,335,400,13.95
1029,1276,1503,1240,346,571,472,6.29
1193,1436,1661,1433,219,384,438,17.63
1063,1268,1506,1339,147,271,348,18.55
751,832,1184,766,64,24,30,4.45
1054,1258,1443,1312,201,285,354,8.86
971,1186,1423,1191,297,509,425,7.79
963,1116,1320,1117,115,167,259,18.96
1259,1519,1737,1550,479,400,458,9.98
1197,1451,1670,1512,339,355,422,8.9
864,1065,1277,999,105,325,266,8.2
1063,1299,1562,1292,452,632,525,7.49
1122,1344,1579,1379,155,272,348,6.86
1212,1452,1646,1495,329,370,434,11.18
1131,1360,1596,1417,145,227,309,15.06
860,1084,1522,1112,99,69,134,3.3
918,1147,1390,1066,105,331,266,6.62
1165,1406,1651,1532,352,248,325,16.28
1151,1374,1602,1401,185,312,385,17.09
1068,1307,1524,1300,142,295,365,15.0
1150,1388,1624,1479,274,264,336,18.89
1015,1194,1401,1197,116,199,294,17.28
1109,1359,1605,1323,435,674,563,6.05
757,841,1190,774,62,24,28,5.26
936,1083,1305,1092,105,147,238,18.94
878,1076,1275,1012,104,329,259,6.06
1234,1491,1702,1504,295,412,476,6.71
995,1177,1379,1154,112,193,281,15.13
1023,1265,1506,1251,389,589,483,8.1
1226,1525,1748,1490,556,733,616,6.27
1265,1511,1722,1530,311,421,481,7.3
1166,1446,1688,1381,427,638,540,5.77
1233,1482,1715,1614,439,345,411,17.53
1175,1422,1644,1526,418,283,359,16.68
1252,1505,1781,1615,550,397,459,18.42
1024,1228,1475,1281,130,232,311,17.63
1092,1349,1592,1310,423,668,562,5.97
827,1012,1261,935,254,483,400,7.45
1109,1288,1514,1361,230,327,396,18.04
1137,1359,1584,1392,183,323,387,7.02
794,949,1187,886,148,382,310,7.44
1095,1314,1555,1342,147,289,369,6.5
1027,1264,1487,1250,116,170,259,12.33
1104,1295,1505,1357,205,296,366,17.46
1168,1414,1622,1442,245,316,405,9.52
1002,1191,1438,1243,120,205,289,17.7
1198,1448,1684,1551,445,342,416,15.86
1238,1538,1789,1479,567,753,636,5.84
1249,1513,1759,1639,485,401,455,16.35
1209,1462,1713,1587,357,271,343,15.74
1042,1236,1484,1295,132,239,323,17.16
881,1023,1236,1030,87,102,159,18.75
1290,1579,1807,1681,432,349,419,14.2
1219,1494,1703,1555,366,374,428,8.57
1193,1430,1648,1471,302,384,447,10.72
1057,1271,1487,1276,127,230,309,9.55
1211,1451,1654,1497,364,431,488,9.6
1142,1395,1654,1354,456,682,577,6.18
1132,1389,1632,1352,453,681,572,6.38
1047,1254,1487,1329,294,268,347,7.63
1259,1580,1828,1551,644,814,690,6.41
1197,1461,1706,1568,343,277,359,17.55
1271,1526,1692,1539,426,532,569,10.91
1149,1412,1625,1427,208,330,396,9.32
1212,1462,1713,1572,408,326,397,18.2
1168,1397,1630,1424,194,333,397,7.19
1173,1412,1640,1511,355,259,336,16.78
1159,1402,1613,1417,207,339,413,7.03
1246,1504,1736,1556,364,425,477,10.75
1227,1498,1703,1591,501,357,412,14.73
1219,1526,1769,1504,622,773,643,6.82
1144,1406,1671,1371,482,710,594,7.51
1218,1500,1743,1468,539,708,607,6.71
906,1064,1288,1065,90,130,207,16.12
1223,1454,1677,1476,260,375,438,7.27
1151,1399,1643,1513,280,258,335,16.57
1239,1516,1758,1654,485,324,393,16.92
1150,1375,1629,1454,194,262,343,15.27
1137,1371,1598,1397,183,309,383,17.19
1147,1362,1580,1463,349,259,340,16.89
1024,1197,1414,1260,145,222,303,18.32
1254,1473,1682,1525,406,501,543,8.16
994,1145,1339,1140,118,191,281,16.85
1253,1501,1728,1625,511,400,460,15.65
1199,1446,1685,1556,377,302,367,17.76
758,823,1157,774,60,18,18,4.4
1182,1446,1651,1450,233,351,414,7.24
1241,1510,1752,1619,386,304,371,13.51
1159,1381,1591,1429,273,327,404,10.74
859,1052,1252,988,100,326,257,5.55
1186,1454,1688,1568,382,249,326,16.6
1041,1215,1443,1273,148,271,348,17.51
873,1054,1307,970,318,510,423,9.0
1174,1391,1667,1488,496,359,432,16.47
1303,1607,1857,1556,652,804,683,6.11
1267,1534,1769,1640,538,401,465,16.8
895,1087,1329,1013,310,529,440,8.02
1267,1534,1766,1582,485,413,469,11.11
1231,1488,1713,1502,251,398,464,7.37
826,1136,1574,1333,122,562,435,5.83
833,1017,1251,941,257,471,391,7.12
1131,1370,1623,1335,444,687,571,6.28
1223,1473,1717,1584,362,270,358,17.36
970,1150,1381,1176,110,167,256,18.63
1327,1645,1886,1599,706,853,723,5.58
1187,1436,1654,1455,255,362,428,17.62
1240,1522,1750,1548,339,424,484,8.69
1060,1252,1466,1285,291,278,354,7.75
1213,1474,1704,1530,342,384,447,10.53
1151,1385,1589,1433,268,323,404,10.7
1320,1622,1883,1581,678,838,716,6.28
1269,1489,1703,1538,435,506,552,8.27
1267,1555,1778,1501,593,747,633,6.94
1134,1385,1621,1490,286,245,325,17.85
846,1035,1287,950,268,481,399,7.51
1240,1494,1745,1631,431,332,404,15.4
897,1089,1313,1035,267,492,405,7.34
778,940,1153,896,182,375,304,8.48
1247,1495,1728,1625,527,323,390,17.07
1209,1451,1684,1468,246,398,458,7.24
1277,1559,1797,1661,415,322,396,14.43
1251,1517,1755,1635,457,338,401,15.18
1248,1496,1763,1614,432,350,420,17.48
1023,1227,1457,1255,126,205,300,12.81
769,935,1159,893,184,367,298,8.47
1135,1356,1574,1415,255,338,412,9.85
